agreement,year,provisionNum,topic,provisionText
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Relationship Between this Governance Agreement and the Anishinabek Nation Education Agreement

Fiscal Agreement

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Fiscal Agreement
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 13

Future Negotiations

Negotiation Principles



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Future Negotiations

Negotiation Principles

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Negotiation Principles
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 14

Amendments

Amendment of this Agreement
Addition of a First Nation as a Party after the Effective Date



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Amendments

Amendment of this Agreement
Addition of a First Nation as a Party after the Effective Date

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Amendment of this Agreement
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Addition of a First Nation as a Party after the Effective Date
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 15

Ratification

Eligible Voter
General Principles
Ballot Question
Ratification Threshold
Ratification Committee
Communicating Results of the First Nations' Votes
Ratification by Canada
Consultation on Federal Legislation



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Ratification

Eligible Voter
General Principles
Ballot Question
Ratification Threshold
Ratification Committee
Communicating Results of the First Nations' Votes
Ratification by Canada
Consultation on Federal Legislation

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Eligible Voter
Anishinabek Nation Governance Agreement,2019,0,Table of contents,General Principles
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Ballot Question
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Ratification Threshold
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Ratification Committee
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Communicating Results of the First Nations' Votes
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Ratification by Canada
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Consultation on Federal Legislation
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 16

Implementation

Shared Commitment of the Parties
Term of the Implementation Plan
The Implementation Plan
Status of the Implementation Plan
Establishment and Role of the Implementation and Operations Committee



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Implementation

Shared Commitment of the Parties
Term of the Implementation Plan
The Implementation Plan
Status of the Implementation Plan
Establishment and Role of the Implementation and Operations Committee

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Shared Commitment of the Parties
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Term of the Implementation Plan
Anishinabek Nation Governance Agreement,2019,0,Table of contents,The Implementation Plan
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Status of the Implementation Plan
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Establishment and Role of the Implementation and Operations Committee
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 17

Dispute Resolution

General
Roster of Mediators and Arbitrators
Notice
Collaborative Negotiations
Mediation
Arbitration
Costs of Mediation or Arbitration
Excluded Disputes
Continuing Obligations



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Dispute Resolution

General
Roster of Mediators and Arbitrators
Notice
Collaborative Negotiations
Mediation
Arbitration
Costs of Mediation or Arbitration
Excluded Disputes
Continuing Obligations

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,General
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Roster of Mediators and Arbitrators
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Notice
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Collaborative Negotiations
